batch_size,seq_len,layer,count,M,K,N,kernel,sleep_ns,sleep_freq,num_iters,elapsed_ms,gflops,power_w,energy_mj,nj_per_flop,sm_clock_mhz
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,65536,0,50,57.1524,360717.0574,599.932,34287.5494,0.0017,2167.0
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,131072,0,50,57.1315,360849.2684,599.976,34277.5007,0.0017,2167.0
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,262144,0,50,57.1643,360642.0355,600.202,34310.1164,0.0017,2167.0
16,256,mlp_down_proj,36,4096,12288,4096,bf16_custom,0,0,50,106.7952,193040.8942,598.072,63871.2254,0.0031,2189.5
16,256,mlp_down_proj,36,4096,12288,4096,bf16_custom,8,0,50,106.5692,193450.288,594.023,63304.5577,0.0031,2279.5
16,256,mlp_down_proj,36,4096,12288,4096,bf16_custom,16,0,50,106.4956,193584.0722,593.4805,63203.0347,0.0031,2351.0
16,256,mlp_down_proj,36,4096,12288,4096,bf16_custom,32,0,50,106.4524,193662.5225,593.118,63138.8429,0.0031,2355.0
16,256,mlp_down_proj,36,4096,12288,4096,bf16_custom,64,0,50,106.5061,193564.9694,593.0355,63161.8769,0.0031,2362.0
16,256,mlp_down_proj,36,4096,12288,4096,bf16_custom,128,0,50,106.4971,193581.3439,597.8545,63669.7436,0.0031,2362.0
16,256,mlp_down_proj,36,4096,12288,4096,bf16_custom,256,0,50,106.5054,193566.2234,598.562,63750.0697,0.0031,2362.0
16,256,mlp_down_proj,36,4096,12288,4096,bf16_custom,512,0,50,106.6082,193379.4646,599.355,63896.1775,0.0031,2362.0
16,256,mlp_down_proj,36,4096,12288,4096,bf16_custom,1024,0,50,106.5685,193451.5751,599.5995,63898.4157,0.0031,2362.0
16,256,mlp_down_proj,36,4096,12288,4096,bf16_custom,2048,0,50,106.743,193135.3502,600.212,64068.4181,0.0031,2362.0
16,256,mlp_down_proj,36,4096,12288,4096,bf16_custom,4096,0,50,107.1457,192409.4152,599.842,64270.4958,0.0031,2362.0
16,256,mlp_down_proj,36,4096,12288,4096,bf16_custom,8192,0,50,107.3407,192059.9525,599.2165,64320.2976,0.0031,2362.0
16,256,mlp_down_proj,36,4096,12288,4096,bf16_custom,16384,0,50,108.1668,190593.0819,598.0395,64688.0166,0.0031,2362.0
16,256,mlp_down_proj,36,4096,12288,4096,bf16_custom,32768,0,50,108.1606,190603.9384,597.786,64656.9134,0.0031,2362.0
16,256,mlp_down_proj,36,4096,12288,4096,bf16_custom,65536,0,50,111.5177,184866.1431,597.565,66639.0613,0.0032,2366.0
16,256,mlp_down_proj,36,4096,12288,4096,bf16_custom,131072,0,50,118.1379,174506.6526,591.816,69915.8775,0.0034,2377.0
16,256,mlp_down_proj,36,4096,12288,4096,bf16_custom,262144,0,50,157.1238,131207.6218,564.2755,88661.1232,0.0043,2362.0
